	Kingdom	Phylum	Class	Order	Family	Genus
ASV_2674	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	NA	NA
ASV_2675	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27 clade
ASV_2676	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV_2677	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Ulvibacter
ASV_2678	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA
ASV_2679	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula
ASV_2680	Bacteria	Proteobacteria	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	Granulosicoccus
ASV_2681	Bacteria	Actinobacteriota	Actinobacteria	PeM15	NA	NA
ASV_2682	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Crocinitomix
ASV_2683	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_2684	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	4572-13	NA
ASV_2685	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_2686	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Limnobacter
ASV_2687	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	NA
ASV_2688	Archaea	Asgardarchaeota	Lokiarchaeia	NA	NA	NA
ASV_2689	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Lacinutrix
ASV_2690	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NA	NA
ASV_2691	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
ASV_2692	Bacteria	Planctomycetota	Pla3 lineage	NA	NA	NA
ASV_2693	Bacteria	Proteobacteria	Alphaproteobacteria	Tistrellales	Geminicoccaceae	NA
ASV_2694	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NA
ASV_2695	Bacteria	Acidobacteriota	Subgroup 21	NA	NA	NA
ASV_2696	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Solimonadaceae	Panacagrimonas
ASV_2697	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter
ASV_2698	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA
ASV_2699	Bacteria	Latescibacterota	NA	NA	NA	NA
ASV_2700	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexaceae	NA
ASV_2701	Bacteria	WS2	NA	NA	NA	NA
ASV_2702	Bacteria	NA	NA	NA	NA	NA
ASV_2703	Bacteria	Planctomycetota	OM190	NA	NA	NA
ASV_2704	Bacteria	Proteobacteria	Alphaproteobacteria	Sneathiellales	Sneathiellaceae	Sneathiella
ASV_2705	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	NA	NA
ASV_2706	Bacteria	Proteobacteria	Gammaproteobacteria	Francisellales	Francisellaceae	Francisella
ASV_2707	Bacteria	Latescibacterota	NA	NA	NA	NA
ASV_2708	Bacteria	NA	NA	NA	NA	NA
ASV_2709	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	NA
ASV_2710	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_2711	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Phaeodactylibacter
ASV_2712	Bacteria	Patescibacteria	Gracilibacteria	NA	NA	NA
ASV_2713	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
ASV_2714	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales	NA	NA
ASV_2715	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	NA
