	sa1	sa2	sa3	sa4	sa5	sa6	sa7	sa8	sa9	sa10	sa11	sa12	sa13	sa14	sa15	sa16	sa17	sa18	sa19	sa20	sa21	sa22	sa23	sa24	sa25	sa26	sa27	sa28	sa29	sa30	sa31	sa32	sa33	sa34	sa35	sa36	sa37	sa38	sa39	sa40	sa41	sa42	sa43	sa44	sa45	sa46	sa47	sa48	sa49	sa50	sa51
ASV_102	74	88	31	0	0	0	93	128	0	85	53	74	0	15	16	154	131	119	0	0	0	105	56	35	73	33	30	64	49	85	258	110	194	0	0	25	0	27	0	89	68	51	60	58	0	0	0	97	82	104	0
ASV_103	131	103	44	0	7	0	111	71	0	123	147	135	0	9	8	220	222	157	26	23	0	398	205	94	0	0	14	0	0	0	40	0	0	36	0	28	0	0	0	21	31	27	73	57	0	0	0	65	68	114	0
ASV_104	0	39	0	88	90	110	0	0	0	0	0	0	145	98	103	24	20	25	68	71	105	18	0	0	56	69	0	261	389	143	0	0	18	0	39	34	85	86	80	26	0	16	67	72	98	67	145	0	32	0	0
ASV_105	52	19	9	0	0	0	76	251	0	54	108	51	5	0	0	56	46	114	0	0	0	74	35	487	117	0	102	0	20	0	0	163	0	43	9	6	0	0	0	40	122	33	152	181	0	0	7	110	114	114	0
ASV_106	111	85	46	0	0	0	95	69	0	193	381	278	0	0	0	210	210	164	0	0	0	266	124	73	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	10	0	133	141	0	0	0	45	47	70	0
ASV_107	33	59	0	79	74	116	0	14	0	23	0	0	104	76	73	0	0	17	40	88	92	25	21	0	82	93	76	152	131	58	25	13	0	25	54	53	142	90	133	0	26	17	61	79	94	96	168	15	32	26	35
ASV_108	0	37	0	119	116	165	0	0	0	0	0	0	95	67	60	0	0	0	37	49	44	0	0	0	130	187	0	233	278	122	0	0	0	0	11	0	146	177	182	0	0	0	47	0	92	99	209	0	0	0	0
ASV_109	0	62	0	73	62	112	0	0	0	0	15	29	97	85	95	23	0	21	38	73	64	0	25	0	90	117	38	208	310	154	66	0	33	0	42	52	68	92	109	12	21	0	40	42	79	49	141	0	33	29	0
ASV_110	0	50	10	97	80	151	21	0	0	15	6	10	159	99	99	0	12	0	52	65	109	12	0	0	64	65	33	147	260	87	53	0	0	7	59	64	94	91	66	0	21	32	49	39	85	57	192	21	35	28	0
ASV_111	0	0	0	153	185	201	0	0	0	0	0	0	189	161	153	0	0	0	112	124	106	0	0	0	67	40	26	127	68	45	0	0	19	0	0	0	130	101	133	0	0	0	40	23	37	148	229	0	0	0	76
ASV_112	27	58	0	0	0	0	0	0	0	21	62	54	0	0	0	0	0	0	0	0	0	0	0	0	131	92	11	1577	332	115	32	0	0	51	19	22	18	0	0	0	0	0	22	0	0	0	0	0	0	0	0
ASV_113	216	199	47	12	21	0	88	67	0	117	79	123	13	10	0	51	47	67	0	0	0	100	78	27	49	28	28	0	0	0	81	36	50	81	118	75	0	0	0	24	49	35	204	180	0	0	0	74	71	95	0
ASV_114	8	37	0	91	88	152	6	0	0	0	0	12	140	91	113	9	0	0	44	86	104	10	7	0	46	68	28	188	324	142	25	0	12	0	22	19	93	79	71	0	19	13	30	47	95	63	157	0	19	9	0
ASV_115	119	119	0	0	29	42	60	44	0	59	36	34	36	32	60	101	80	93	45	51	29	276	197	89	0	0	0	0	0	0	0	0	0	39	105	118	0	25	0	77	50	47	92	72	0	0	30	57	42	74	0
ASV_116	137	132	33	0	0	0	0	15	0	54	15	71	0	0	0	28	28	26	0	14	0	20	8	0	201	169	62	37	22	0	102	0	74	147	335	231	15	14	0	52	41	47	145	75	13	0	0	34	25	21	0
ASV_117	28	39	0	84	85	128	0	0	0	0	23	50	115	80	86	0	0	0	48	62	53	0	0	0	112	33	0	117	261	39	0	0	0	29	60	52	99	82	127	0	13	0	54	72	75	113	217	0	0	0	0
ASV_118	0	0	0	111	134	133	0	0	0	0	0	0	78	68	53	0	0	0	33	35	33	0	0	0	40	0	0	111	229	80	0	0	0	0	0	0	241	174	355	0	0	0	0	0	127	113	288	0	0	0	0
ASV_119	0	0	0	213	281	176	0	0	0	0	0	0	163	163	178	0	0	0	170	189	63	0	0	0	0	0	0	0	17	27	0	0	0	0	0	0	0	90	131	0	0	0	0	0	49	237	276	0	0	0	0
ASV_120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	33	132	0	0	0	742	186	318	22	57	0	0	0	0	314	210	125	0	0	0	0	0	0	0	0	0
